Feature,Importance,Std
V8491,0.0014474631503164303,0.0008681749682312477
V751,0.0008184608389223858,0.00041687764887953123
V10921,0.0008184608389223636,0.00039056037972716055
V12277,0.0007729907923155644,0.0001526993420454817
V16975,0.0007426774279110538,0.00017545128116085924
V14393,0.0007275207457087651,0.00023407139117852713
V8485,0.0006972073813042545,0.0002508877322912716
V4652,0.0006896290402031102,0.00034345857886776356
V9223,0.0006441589935963111,0.00016429452001574368
V1278,0.0006290023113940446,7.802379705947309e-05
V13296,0.0006138456291917782,0.00028797696184304294
V16536,0.0006062672880906561,9.88094790678988e-05
V14913,0.0006062672880906339,0.00016775373135672543
V4133,0.0005986889469895118,0.0002747083317856858
V4736,0.0005835322647872454,0.00018345221381392942
V16606,0.0005835322647872454,0.00027595985686077417
V10358,0.0005759539236861233,0.00012077888257745361
V11084,0.0005683755825850012,0.00012905449862393828
V16774,0.0005607972414838791,0.0001231334682980418
V20976,0.0005607972414838569,0.00031374698259986817
V12948,0.0005607972414838347,0.00024368815415577808
V12374,0.0005532189003826903,0.00018961003377205196
V15192,0.0005456405592815905,0.00015269934204545195
V4083,0.0005380622181804684,0.00010279762014512763
V19631,0.0005304838770793463,0.00017114303801500435
V11939,0.0005229055359781797,0.00011592632746598064
V4281,0.0005229055359781797,8.091454095734689e-05
V8721,0.0005229055359781797,0.00027049476408735315
V15047,0.0005153271948770355,0.00018501088425192328
V17687,0.0005077488537759356,0.00020136152863606472
V1884,0.0005001705126748135,0.00018156414763685567
V4336,0.000500170512674769,0.00011592632746600094
V19203,0.0004850138304725249,0.0001231334682980746
V4686,0.00046985714827028067,0.00011886163571941527
V12352,0.0004698571482702585,0.00014889077870778214
V16555,0.0004622788071691364,0.00014655814183479855
V14296,0.0004547004660679921,0.00018869917165680378
V2457,0.00044712212496686996,0.00016147380358956352
V6557,0.0004319654427646036,6.606644603905094e-05
V4189,0.0004243871016634815,0.0002094695155330679
V3918,0.00042438710166345925,0.00012994148156175272
V9204,0.0004168087605623372,0.0002005040590401784
Stage_IA,0.0004168087605623372,0.00018717121799442357
V17158,0.0004168087605623372,0.00020892044639592996
V21280,0.0004168087605623372,0.00023480631101253376
V16649,0.00040923041946121507,0.0001055540773535199
V17864,0.00040923041946121507,0.0001108615727962446
V9825,0.00040923041946121507,0.0001504257757665702
V18946,0.0004092304194611929,0.000154196430217677
V5844,0.0004016520783600708,0.00012359900291993397
V13620,0.00039407373725894865,0.00022301449690517272
V10393,0.00039407373725894865,0.0001212534576181007
V4710,0.00039407373725894865,6.156673414903184e-05
V39,0.00039407373725894865,0.0001212534576181007
V18574,0.0003864953961577822,0.00021753931407534992
V10299,0.0003864953961577822,0.0002483569339270597
V10147,0.00037891705505670447,8.96681411557128e-05
V1516,0.0003789170550566823,0.00014966024522096826
V1989,0.0003789170550566823,0.0001312607182424825
V8775,0.0003789170550566823,0.0001044602231979972
V14718,0.0003789170550566823,8.640638286530817e-05
V11462,0.00037891705505666007,0.00016945685858809484
